Chartmetric ID,Artista,País,Pronombres,Solista/Grupo,Etiquetas Asociadas,Géneros,Etapa de la carrera,Momentum Reciente,Seguidores en Spotify,Oyentes mensuales en Spotify,Tasa de conversión en Spotify,Popularidad en Spotify,Alcance de playlists en Spotify,Conteo de las playlists en Spotify
313386,Sara Montiel,España,She/Her,Artistas solistas,Edition Estela - Tesoros Musicales,"Latin Pop, Soundtracks, Latin",Developing,Growth,35050.0,126415.0,0.277261,33.0,1910946.0,18853.0
1427698,Miane,España,She/Her,Artistas solistas,Hot Creations,"House, Dance, Electronic",Developing,Steady,9741.0,126117.0,0.077238,31.0,2238005.0,18755.0
3510212,Shara Pablos,España,She/Her,Artistas solistas,Shara Pablos,"Latin Pop, Flamenco, Latin",Developing,Growth,7294.0,123736.0,0.058948,36.0,961474.0,772.0
299208,L.A.,España,She/Her,Artistas solistas,Miami Beats,"Hip-Hop/Rap, Pop, Rock",Mid-Level,Steady,52679.0,120938.0,0.435587,34.0,1204169.0,7280.0
1377341,Queralt Lahoz,España,She/Her,Artistas solistas,Costa Futuro,"Hip-Hop/Rap, Pop, Vocal",Developing,Growth,30442.0,118580.0,0.256721,38.0,869062.0,7181.0
1461529,Ana Mancebo,España,She/Her,Artistas solistas,"Ana Mancebo, AJV Entertainment LLC","R&B/Soul, Latin Dance, Latin Pop, Latin",Developing,Steady,3694.0,117236.0,0.031509,30.0,1216577.0,2453.0
206674,Lao Ra,España,She/Her,Artistas solistas,La Patrona,"Latin Pop, Latin Hip-Hop/Rap, Latin Dance, Latin",Developing,Steady,10865.0,114883.0,0.094574,31.0,2186592.0,9774.0
359363,Lissette,España,She/Her,Artistas solistas,JonRon Music,"Latin Pop, Singer/Songwriter, Latin",Developing,Explosive Growth,14746.0,113625.0,0.129778,30.0,917123.0,2351.0
18899,Angy,España,She/Her,Artistas solistas,"Angyspace, SME (Sony Music Entertainment)","Latin Pop, Latin Rock, Alternative, Latin",Developing,Steady,28651.0,108100.0,0.265042,32.0,985166.0,3131.0
14944,Alicia de Larrocha,España,She/Her,Artistas solistas,Unknown Association,Classical,Mid-Level,Steady,22006.0,106171.0,0.207269,33.0,988063.0,4321.0
1013739,BEA PELEA,España,She/Her,Artistas solistas,La Cangri,"Latin Hip-Hop/Rap, Latin",Developing,Steady,50484.0,104550.0,0.482869,34.0,993170.0,8956.0
776402,Nerea Rodríguez,España,She/Her,Artistas solistas,"Nerea Rodríguez, WaterTower Music","Latin Pop, Latin",Developing,Growth,78734.0,103007.0,0.764356,30.0,587688.0,2983.0
